pl_name,hostname,pl_masse,pl_rade,ra,dec,sy_dist
"OGLE-TR-10 b","OGLE-TR-10",197.04600,14.011,267.8677483,-29.8764758,1344.9700000
"BD-08 2823 b","BD-08 2823",,,150.1971964,-9.5165689,41.3342000
"BD-08 2823 c","BD-08 2823",,,150.1971964,-9.5165689,41.3342000
"HD 104985 b","HD 104985",,,181.3157854,76.9053359,100.5760000
"bet Pic b","bet Pic",,,86.8212337,-51.0661480,19.7442000
"bet Pic b","bet Pic",2224.81000,18.495,86.8212337,-51.0661480,19.7442000
"4 UMa b","4 UMa",,,130.0528099,64.3280504,73.4603000
"HD 104985 b","HD 104985",,,181.3157854,76.9053359,100.5760000
"kap CrB b","kap CrB",635.66000,,237.8080012,35.6558818,30.0651000
"kap CrB b","kap CrB",591.16380,,237.8080012,35.6558818,30.0651000
"kap CrB b","kap CrB",689.69110,,237.8080012,35.6558818,30.0651000
"14 And b","14 And",,,352.8241500,39.2358367,75.4392000
"18 Del b","18 Del",,,314.6078375,10.8391378,76.2220000
"81 Cet b","81 Cet",,,39.4243555,-3.3963607,101.2600000
"HD 81688 b","HD 81688",,,142.1665753,45.6009241,85.7183000
"xi Aql b","xi Aql",,,298.5624491,8.4611051,56.1858000
"HD 180314 b","HD 180314",,,288.7094401,31.8604391,122.3620000
"HD 208897 b","HD 208897",,,329.7490639,19.0201591,67.4872000
"HD 147379 b","HD 147379",,,244.1725686,67.2392041,10.7643000
"HD 47366 c","HD 47366",,,99.4200181,-12.9856593,84.3552000
"6 Lyn b","6 Lyn",,,97.6960311,58.1611753,54.6599000
"81 Cet b","81 Cet",,,39.4243555,-3.3963607,101.2600000
"gam Lib b","gam Lib",,,233.8818636,-14.7895020,47.4017000
"gam Lib c","gam Lib",,,233.8818636,-14.7895020,47.4017000
"HD 110014 b","HD 110014",,,189.8111935,-7.9956702,100.7580000
"KOI-13 b","KOI-13",,20.500,286.9713876,46.8682463,519.0960000
"Kepler-44 b","Kepler-44",324.17000,13.900,300.1023512,45.7621918,1188.0000000
"GJ 667 C b","GJ 667 C",,,259.7510609,-34.9977651,7.2439600
"GJ 667 C c","GJ 667 C",,,259.7510609,-34.9977651,7.2439600
"KOI-13 b","KOI-13",,22.770,286.9713876,46.8682463,519.0960000
"WASP-62 b","WASP-62",181.15500,15.581,87.1398205,-63.9883286,175.6310000
"KOI-13 b","KOI-13",,,286.9713876,46.8682463,519.0960000
"KOI-13 b","KOI-13",,16.197,286.9713876,46.8682463,519.0960000
"GJ 667 C f","GJ 667 C",,,259.7510609,-34.9977651,7.2439600
"GJ 667 C g","GJ 667 C",,,259.7510609,-34.9977651,7.2439600
"GJ 667 C b","GJ 667 C",,,259.7510609,-34.9977651,7.2439600
"GJ 667 C c","GJ 667 C",,,259.7510609,-34.9977651,7.2439600
"HAT-P-7 b","HAT-P-7",564.44200,15.043,292.2471900,47.9695429,341.0790000
"HAT-P-7 b","HAT-P-7",564.44200,15.278,292.2471900,47.9695429,341.0790000
"WASP-74 b","WASP-74",301.93850,17.486,304.5388430,-1.0760033,149.2160000
"HAT-P-7 b","HAT-P-7",566.05523,15.906,292.2471900,47.9695429,341.0790000
"KOI-13 b","KOI-13",2949.46240,16.948,286.9713876,46.8682463,519.0960000
"Kepler-44 b","Kepler-44",327.36490,13.451,300.1023512,45.7621918,1188.0000000
"HAT-P-7 b","HAT-P-7",,16.050,292.2471900,47.9695429,341.0790000
"GJ 667 C b","GJ 667 C",,,259.7510609,-34.9977651,7.2439600
