ra,dec,sy_name,hostname,sy_snum,sy_pnum,sy_mnum,st_mass,sy_plx
271.9569700,-25.3446388,"MOA-2010-BLG-117L","MOA-2010-BLG-117L",1,1,0,0.58,
290.4120774,44.8993227,"Kepler-914","Kepler-914",1,1,0,,1.2979700
116.3288240,28.0261270,"HD 62509","HD 62509",1,1,0,2.59,
219.9204103,-60.8351471,"alf Cen","alf Cen A",3,1,0,,742.1200000
300.5171067,44.3815508,"Kepler-79","Kepler-79",1,4,0,1.18,0.9510890
294.1527259,38.2330886,"Kepler-1073","Kepler-1073",1,3,0,,1.2062200
285.6729033,44.1167513,"Kepler-91","Kepler-91",1,1,0,,0.7437390
297.4808253,46.5891373,"Kepler-1997","Kepler-1997",1,1,0,1.12,0.6377920
290.6249953,44.8737757,"Kepler-540","Kepler-540",1,1,0,,2.5330600
283.2555070,48.3552474,"Kepler-101","Kepler-101",1,2,0,1.12,1.0488400
288.8865895,44.8394672,"Kepler-1372","Kepler-1372",1,1,0,,0.7389460
284.0566675,41.5767277,"Kepler-1627","Kepler-1627",1,1,0,,3.1222300
290.4341483,44.1077802,"Kepler-1152","Kepler-1152",1,1,0,0.55,4.6172700
281.6336936,43.4115547,"Kepler-1628","Kepler-1628",1,1,0,,
285.9307362,39.0981201,"Kepler-495","Kepler-495",1,2,0,0.94,1.4889600
269.0555417,-29.1990833,"OGLE-2018-BLG-0596L","OGLE-2018-BLG-0596L",1,1,0,0.23,
269.2416667,-30.0930556,"KMT-2021-BLG-0171L","KMT-2021-BLG-0171L",1,1,0,0.78,
286.7107166,43.0433585,"Kepler-978","Kepler-978",1,1,0,1.12,
271.3518070,-26.4219437,"OGLE-2007-BLG-349L","OGLE-2007-BLG-349L A",2,1,0,0.41,
267.9828750,-29.9897306,"MOA-2019-BLG-008L","MOA-2019-BLG-008L",1,1,0,1.10,
285.2211238,47.8813037,"Kepler-815","Kepler-815",1,1,0,,0.7652360
272.0192570,-29.7315826,"OGLE-2012-BLG-0950L","OGLE-2012-BLG-0950L",1,1,0,0.54,
265.7322500,-25.5089111,"KMT-2021-BLG-1105L","KMT-2021-BLG-1105L",1,1,0,1.17,
286.5436691,45.3048716,"Kepler-1616","Kepler-1616",1,1,0,,0.8500170
266.4891250,-33.8428111,"KMT-2021-BLG-1077L","KMT-2021-BLG-1077L",1,2,0,0.14,
286.5580128,38.4052418,"Kepler-967","Kepler-967",1,2,0,,
50.8972464,-40.0762325,"HIP 15799","GJ 3222",2,1,0,,54.8301000
290.5267975,38.1428283,"Kepler-1063","Kepler-1063",2,1,0,1.09,
291.9641255,42.6961308,"Kepler-710","Kepler-710",1,1,0,,0.6619010
285.3111845,47.8484775,"Kepler-129","Kepler-129",1,3,0,1.19,2.4173200
,,"HD 132563","HD 132563 Ab",3,1,0,,
284.2513637,48.8095962,"Kepler-841","Kepler-841",1,1,0,0.78,0.9730520
291.9518784,43.0746172,"Kepler-184","Kepler-184",1,3,0,,1.6097000
297.9707271,47.7316041,"Kepler-141","Kepler-141",1,2,0,,3.2913500
281.4572217,46.7465538,"Kepler-960","Kepler-960",1,1,0,,3.4809800
